============================================================================================================================================================================================================================================================================================ 
Input  ECAL_01   ECAL_02   ECAL_03   ECAL_04   ECAL_05   ECAL_06   ECAL_07   ECAL_08   ECAL_09   ECAL_10   ECAL_11   ECAL_12   ECAL_13   ECAL_14   ECAL_15   ECAL_16   ECAL_17   ECAL_18   ECAL_19   ECAL_20   ECAL_21   ECAL_22   ECAL_23   ECAL_24   ECAL_25   ECAL_26   ECAL_27   ECAL_28 
0x03d   0x6041    0x6041    0x6041    0x6041    0x6041    0x6042    0x6042    0x6042    0x6042    0x6043    0x6043    0x6043    0x6044    0x6046    0x6046    0x6046    0x6049    0x6050    0x6047    0x604c    0x604e    0x604e    0x604b    0x604b    0x604a    0x6049    0x503d    0x503d    
0x03e   0x6042    0x6042    0x6042    0x6042    0x6042    0x6043    0x6043    0x6043    0x6044    0x6044    0x6044    0x6044    0x6045    0x6047    0x6047    0x6047    0x604a    0x6052    0x6048    0x604e    0x604f    0x604f    0x604d    0x604c    0x604c    0x604a    0x503e    0x503e    
0x03f   0x6043    0x6043    0x6043    0x6043    0x6043    0x6044    0x6044    0x6044    0x6045    0x6045    0x6045    0x6045    0x6047    0x6048    0x6048    0x6048    0x604b    0x6053    0x604a    0x604f    0x6050    0x6050    0x604e    0x604d    0x604d    0x604b    0x503f    0x503f    
0x040   0x6044    0x6044    0x6044    0x6044    0x6045    0x6045    0x6045    0x6045    0x6046    0x6046    0x6046    0x6046    0x6048    0x6049    0x604a    0x6049    0x604c    0x6054    0x604b    0x6050    0x6051    0x6052    0x604f    0x604f    0x604e    0x604c    0x6040    0x6040    
0x041   0x6045    0x6045    0x6045    0x6045    0x6046    0x6046    0x6046    0x6046    0x6047    0x6047    0x6047    0x6047    0x6049    0x604a    0x604b    0x604a    0x604d    0x6056    0x604c    0x6051    0x6053    0x6053    0x6050    0x6050    0x604f    0x604e    0x6041    0x6041    
0x042   0x6046    0x6046    0x6046    0x6046    0x6047    0x6047    0x6047    0x6047    0x6048    0x6049    0x6048    0x6049    0x604a    0x604c    0x604c    0x604b    0x604f    0x6057    0x604d    0x6053    0x6054    0x6054    0x6052    0x6051    0x6050    0x604f    0x6042    0x6042    
0x043   0x6047    0x6047    0x6047    0x6047    0x6048    0x6048    0x6048    0x6048    0x6049    0x604a    0x6049    0x604a    0x604b    0x604d    0x604d    0x604c    0x6050    0x6058    0x604e    0x6054    0x6055    0x6056    0x6053    0x6052    0x6052    0x6050    0x6043    0x6043    
0x044   0x6049    0x6048    0x6048    0x6048    0x6049    0x604a    0x6049    0x6049    0x604a    0x604b    0x604a    0x604b    0x604c    0x604e    0x604e    0x604e    0x6051    0x605a    0x604f    0x6055    0x6056    0x6057    0x6054    0x6054    0x6053    0x6051    0x6044    0x6044    
0x045   0x604a    0x6049    0x6049    0x6049    0x604a    0x604b    0x604a    0x604b    0x604b    0x604c    0x604b    0x604c    0x604d    0x604f    0x604f    0x604f    0x6052    0x605b    0x6051    0x6056    0x6058    0x6058    0x6055    0x6055    0x6054    0x6052    0x6045    0x6045    
0x046   0x604a    0x604a    0x604a    0x604a    0x604a    0x604a    0x604a    0x604b    0x604b    0x604c    0x604c    0x604c    0x604d    0x604f    0x604e    0x604f    0x6051    0x605a    0x6051    0x6055    0x6057    0x6057    0x6055    0x6054    0x6054    0x6052    0x6046    0x6046    
0x047   0x604b    0x604b    0x604b    0x604b    0x604b    0x604b    0x604c    0x604c    0x604c    0x604d    0x604d    0x604d    0x604e    0x6050    0x604f    0x6050    0x6053    0x605b    0x6052    0x6057    0x6058    0x6058    0x6056    0x6056    0x6055    0x6054    0x6047    0x6047    
0x048   0x604c    0x604c    0x604c    0x604c    0x604c    0x604c    0x604d    0x604d    0x604d    0x604e    0x604e    0x604e    0x604f    0x6051    0x6051    0x6051    0x6054    0x605c    0x6053    0x6058    0x6059    0x605a    0x6057    0x6057    0x6056    0x6055    0x6048    0x6048    
0x049   0x604d    0x604d    0x604d    0x604d    0x604d    0x604e    0x604e    0x604e    0x604e    0x604f    0x604f    0x604f    0x6050    0x6052    0x6052    0x6052    0x6055    0x605e    0x6054    0x6059    0x605b    0x605b    0x6059    0x6058    0x6057    0x6056    0x6049    0x6049    
0x04a   0x604e    0x604e    0x604e    0x604e    0x604e    0x604f    0x604f    0x604f    0x6050    0x6050    0x6050    0x6050    0x6051    0x6053    0x6053    0x6053    0x6056    0x605f    0x6056    0x605a    0x605c    0x605c    0x605a    0x6059    0x6059    0x6057    0x604a    0x604a    
0x04b   0x604f    0x604f    0x604f    0x604f    0x6050    0x6050    0x6050    0x6050    0x6051    0x6051    0x6051    0x6051    0x6052    0x6054    0x6054    0x6054    0x6057    0x6060    0x6057    0x605c    0x605d    0x605e    0x605b    0x605a    0x605a    0x6058    0x604b    0x604b    
0x04c   0x6050    0x6050    0x6050    0x6050    0x6051    0x6051    0x6051    0x6051    0x6052    0x6052    0x6052    0x6052    0x6054    0x6055    0x6055    0x6055    0x6058    0x6062    0x6058    0x605d    0x605e    0x605f    0x605c    0x605c    0x605b    0x6059    0x604c    0x604c    
0x04d   0x6051    0x6051    0x6051    0x6051    0x6052    0x6052    0x6052    0x6052    0x6053    0x6053    0x6053    0x6053    0x6055    0x6057    0x6056    0x6057    0x605a    0x6063    0x6059    0x605e    0x6060    0x6060    0x605d    0x605d    0x605c    0x605b    0x604d    0x604d    
0x04e   0x6052    0x6052    0x6052    0x6052    0x6053    0x6053    0x6053    0x6053    0x6054    0x6054    0x6054    0x6054    0x6056    0x6058    0x6057    0x6058    0x605b    0x6064    0x605a    0x605f    0x6061    0x6061    0x605f    0x605e    0x605e    0x605c    0x604e    0x604e    
0x04f   0x6053    0x6053    0x6053    0x6053    0x6054    0x6054    0x6054    0x6054    0x6055    0x6056    0x6055    0x6055    0x6057    0x6059    0x6058    0x6059    0x605c    0x6065    0x605b    0x6061    0x6062    0x6063    0x6060    0x605f    0x605f    0x605d    0x604f    0x604f    
0x050   0x6052    0x6052    0x6052    0x6052    0x6053    0x6053    0x6053    0x6053    0x6053    0x6054    0x6054    0x6055    0x6056    0x6058    0x6058    0x6058    0x605b    0x6065    0x605b    0x6061    0x6062    0x6063    0x6060    0x6060    0x605f    0x605d    0x6050    0x6050    
0x051   0x6053    0x6053    0x6053    0x6053    0x6054    0x6054    0x6054    0x6054    0x6054    0x6056    0x6055    0x6056    0x6057    0x6059    0x6059    0x6059    0x605c    0x6067    0x605c    0x6062    0x6063    0x6064    0x6061    0x6061    0x6060    0x605e    0x6051    0x6051    
0x052   0x6054    0x6054    0x6054    0x6054    0x6055    0x6055    0x6055    0x6056    0x6055    0x6057    0x6056    0x6057    0x6059    0x605a    0x605a    0x605a    0x605d    0x6068    0x605d    0x6063    0x6065    0x6065    0x6063    0x6062    0x6062    0x605f    0x6052    0x6052    
0x053   0x6055    0x6055    0x6055    0x6056    0x6056    0x6056    0x6056    0x6057    0x6057    0x6058    0x6057    0x6058    0x605a    0x605b    0x605b    0x605b    0x605e    0x6069    0x605f    0x6064    0x6066    0x6066    0x6064    0x6063    0x6063    0x6060    0x6053    0x6053    
0x054   0x6057    0x6056    0x6056    0x6057    0x6057    0x6057    0x6057    0x6058    0x6058    0x6059    0x6058    0x6059    0x605b    0x605c    0x605c    0x605c    0x6060    0x606a    0x6060    0x6066    0x6067    0x6068    0x6065    0x6064    0x6064    0x6062    0x6054    0x6054    
0x055   0x6058    0x6057    0x6057    0x6058    0x6058    0x6058    0x6058    0x6059    0x6059    0x605a    0x6059    0x605a    0x605c    0x605d    0x605d    0x605d    0x6061    0x606c    0x6061    0x6067    0x6068    0x6069    0x6066    0x6066    0x6065    0x6063    0x6055    0x6055    
0x056   0x6059    0x6058    0x6058    0x6059    0x6059    0x6059    0x6059    0x605a    0x605a    0x605b    0x605b    0x605b    0x605d    0x605e    0x605e    0x605f    0x6062    0x606d    0x6062    0x6068    0x606a    0x606a    0x6067    0x6067    0x6066    0x6064    0x6056    0x6056    
